학교명,도로명주소,위도,경도,법정동,행정동
청천중학교,"인천광역시 부평구 마장로364번길 23 (청천동, 청천중학교)",37.51173257,126.704543,청천동,청천2동
서도중학교볼음분교장,인천광역시 강화군 서도면 볼음도길 256 (서도면),37.67160759,126.1881412,서도면 볼음도리,서도면
함박중학교,인천광역시 연수구 솔샘로 143 (청학동 109-1),37.42451685,126.6615415,청학동,청학동
작전중학교,인천광역시 계양구 주부토로448번길 16 (작전동),37.53358903,126.7296731,작전동,작전1동
인천양촌중학교,인천광역시 계양구 장제로948번길 13 (병방동),37.55032708,126.7450048,병방동,계양2동
인천예일중학교,"인천광역시 계양구 장제로995번길 39 (방축동, 인천예일중학교)",37.55467618,126.7405362,방축동,계양2동
간재울중학교,"인천광역시 서구 승학로512번길 34 (검암동, 간재울중학교)",37.56290197,126.6763165,검암동,검암경서동
능허대중학교,"인천광역시 연수구 송도교육로 31 (송도동, 능허대중학교)",37.37353727,126.6578118,송도동,송도3동
석정중학교,"인천광역시 남동구 방축로469번길 1 (간석동,석정중학교)",37.46920108,126.6940174,간석동,간석4동
인주중학교,"인천광역시 미추홀구 매소홀로 335 (학익동, 인주중학교)",37.44280597,126.6601354,학익동,학익1동
신송중학교,"인천광역시 연수구 해돋이로56번길 12 (송도동, 신송중학교)",37.38956087,126.6562398,송도동,송도1동
마전중학교,"인천광역시 서구 완정로 91 (마전동, 마전중학교)",37.59796942,126.6652753,마전동,마전동
원당중학교,"인천광역시 서구 고산로40번길 22 (원당동, 원당중학교)",37.59640974,126.7033113,원당동,원당동
삼산중학교,"인천광역시 부평구 충선로 308 , 삼산중학교 (삼산동)",37.51662155,126.7362331,삼산동,삼산2동
진산중학교,"인천광역시 부평구 충선로234번길 70 (삼산동, 진산중학교)",37.50945861,126.74031,삼산동,삼산2동
인천당하중학교,"인천광역시 서구 청마로 38 (당하동, 당하중학교)",37.59060591,126.6695556,당하동,당하동
인천상정중학교,"인천광역시 부평구 경원대로 1083 (십정동, 상정중학교)",37.47903727,126.6941199,십정동,십정1동
인천동양중학교,"인천광역시 계양구 당미길 56 (동양동, 인천동양중학교)",37.56235515,126.7606074,동양동,계양1동
인천논현중학교,"인천광역시 남동구 포구로 118 (논현동,논현중학교)",37.40858946,126.7325467,논현동,논현1동
인천성리중학교,"인천광역시 남동구 성리로 26 (구월동, 성리중학교)",37.44500969,126.7094736,구월동,구월1동
인천가현중학교,"인천광역시 서구 염곡로 409 (신현동, 가현중학교)",37.52109126,126.6685551,신현동,신현원창동
인천계수중학교,"인천광역시 계양구 살라리로2번길 25 (서운동,계수중학교)",37.53515968,126.7449164,서운동,작전서운동
인천동방중학교,"인천광역시 남동구 논현역로 41 (논현동, 동방중학교)",37.40430158,126.7190567,논현동,논현2동
인천정각중학교,"인천광역시 남동구 구월로 240 (구월동, 정각중학교)",37.45578917,126.7170728,구월동,구월2동
인천서창중학교,"인천광역시 남동구 독곡로60번길 16 (서창동, 인천서창중학교)",37.43370935,126.7496321,서창동,장수서창동
인천석남중학교,"인천광역시 서구 건지로 333 (석남동, 석남중학교)",37.49899135,126.6795646,석남동,석남3동
인천고잔중학교,"인천광역시 남동구 논고개로 20 , 인천고잔중학교 (논현동)",37.39604139,126.7316201,논현동,논현고잔동
인천해송중학교,"인천광역시 연수구 해송로 148 (송도동, 인천해송중학교)",37.37990415,126.6484699,송도동,송도1동
인천사리울중학교,"인천광역시 남동구 에코중앙로84번길 12 , (논현동) (논현동, 사리울중학교)",37.38569699,126.720128,논현동,논현고잔동
인천신정중학교,"인천광역시 연수구 컨벤시아대로42번길 80 (송도동, 신정중학교)",37.4036411,126.6461098,송도동,송도2동
인천청라중학교,"인천광역시 서구 청라라임로 112 (청라동, 청라중학교)",37.53783941,126.653874,청라동,청라1동
인천초은중학교,"인천광역시 서구 청라라임로 10 (청라동, 초은중학교)",37.52838091,126.6539276,청라동,청라1동
인천아라중학교,"인천광역시 서구 서로2로 50 (당하동, 인천아라중학교)",37.58611564,126.7039084,당하동,아라1동
인천이음중학교,"인천광역시 서구 이음1로 455 , (우)22861 (원당동, 인천이음중학교)",37.59975724,126.7115505,원당동,아라2동
인천해원중학교,"인천광역시 서구 청라한내로 21 (청라동, 인천해원중학교)",37.52723444,126.6280402,청라동,청라3동
인천예송중학교,"인천광역시 연수구 아카데미로 212 (송도동, 예송중학교)",37.38341562,126.6275486,송도동,송도4동
인천단봉중학교,인천광역시 서구 봉화로15번길 10 (오류동),37.59548786,126.6358564,오류동,오류왕길동
인천청람중학교,"인천광역시 서구 청라커낼로 335 (청라동, 인천청람중학교)",37.5387195,126.6438114,청라동,청라2동
인천하늘중학교,인천광역시 중구 찬들로284번길 16 (운남동),37.4838328,126.5432593,운남동,영종동
인천중산중학교,인천광역시 중구 두미포로 189 (중산동),37.49834942,126.5710124,중산동,영종2동
인천경연중학교,"인천광역시 서구 차오름로 64 (청라동, 인천경연초중학교)",37.53849651,126.6262363,청라동,청라3동
인천미송중학교,"인천광역시 연수구 아카데미로 679 (송도동, 인천미송중학교)",37.41595901,126.6131619,송도동,송도5동
인천현송중학교,"인천광역시 연수구 아카데미로312번길 84 (송도동, 인천현송중학교)",37.39310879,126.6195981,송도동,송도4동
인천루원중학교,"인천광역시 서구 염곡로 517 (가정동, 인천루원중학교)",37.53128489,126.6686528,가정동,가정1동
인천청호중학교,인천광역시 서구 청라한울로 44 (청라동),37.53864489,126.6415165,청라동,청라2동
인천운서중학교,인천광역시 중구 하늘초롱길 73 (운서동),37.4912193,126.5051173,운서동,운서2동
인천은송중학교,인천광역시 연수구 센트럴로 464 (송도동),37.41599448,126.6296701,송도동,송도5동
가람중학교,"경기도 고양시 덕양구 화신로 122(행신동,가람중학교)",37.62365997,126.8412071,행신동,행신3동
고양중학교,경기도 고양시 덕양구 동세로 82(삼송동),37.64966819,126.8845811,삼송동,삼송2동
능곡중학교,경기도 고양시 덕양구 행당로11번길 48(토당동),37.62292202,126.8266419,토당동,행주동
대화중학교,"경기도 고양시 일산서구 고양대로 348(대화동,대화중학교)",37.67384355,126.7444769,대화동,대화동
덕양중학교,경기도 고양시 덕양구 중앙로176번길 18-29(화전동),37.60465416,126.8717155,화전동,화전동
무원중학교,경기도 고양시 덕양구 무원로 45(행신동),37.6176865,126.8305704,행신동,행신2동
발산중학교,"경기도 고양시 일산서구 고봉로 99(주엽동,발산중학교)",37.66984321,126.7696268,주엽동,주엽1동
백마중학교,경기도 고양시 일산동구 강촌로 189(마두동),37.65512778,126.7933085,마두동,마두1동
백석중학교,"경기도 고양시 일산동구 호수로 404(백석동, 백석중학교)",37.64201405,126.7828129,백석동,백석2동
백신중학교,"경기도 고양시 일산동구 강촌로 89(마두동,백신중학교)",37.65133133,126.7831772,마두동,마두2동
백양중학교,"경기도 고양시 덕양구 화신로 236(화정동,백양중학교)",37.63132597,126.8358443,화정동,화정2동
고양제일중학교,"경기도 고양시 덕양구 통일로 820(관산동,고양제일중학교)",37.69052753,126.8592787,관산동,관산동
신능중학교,"경기도 고양시 덕양구 충장로, 78 (행신동)",37.61956068,126.8354977,행신동,행신1동
신일중학교,경기도 고양시 일산서구 고봉로 177(일산동),37.676619,126.7741412,일산동,일산3동
오마중학교,경기도 고양시 일산서구 주엽로 213(주엽동),37.6776984,126.7615222,주엽동,주엽2동
원당중학교,경기도 고양시 덕양구 마상로 1(주교동),37.66465516,126.823159,주교동,주교동
일산동중학교,"경기도 고양시 일산서구 현중로 48 (탄현동,일산동중학교)",37.69537427,126.7680679,탄현동,탄현1동
일산중학교,경기도 고양시 일산서구 원일로 53(일산동),37.68897122,126.7683384,일산동,일산1동
장성중학교,경기도 고양시 일산서구 대산로 254(대화동),37.68131955,126.7513728,대화동,대화동
저동중학교,"경기도 고양시 일산동구 무궁화로 159, 저동중학교 (정발산동)",37.67073855,126.7779123,정발산동,정발산동
정발중학교,"경기도 고양시 일산동구 정발산로 115(마두동, 정발중학교)",37.6594744,126.7807456,마두동,마두1동
중산중학교,"경기도 고양시 일산동구 탄중로 361(중산동,중산중학교)",37.69140401,126.7835017,중산동,중산1동
지도중학교,"경기도 고양시 덕양구 성신로 46, 지도중학교 (화정동)",37.62706051,126.8340317,화정동,화정2동
한수중학교,경기도 고양시 일산서구 주엽로 117(주엽동),37.66990116,126.7561898,주엽동,주엽2동
행신중학교,"경기도 고양시 덕양구 화신로 22, 행신중학교 (행신동)",37.61515697,126.8396543,행신동,행신2동
호곡중학교,경기도 고양시 일산서구 탄현로 110(탄현동),37.70159366,126.7685069,탄현동,탄현2동
화수중학교,"경기도 고양시 덕양구 화수로 47(화정동, 화수중학교)",37.64522938,126.834916,화정동,화정1동
화정중학교,"경기도 고양시 덕양구 화신로 343(화정동, 화정중학교)",37.63491092,126.8264796,화정동,화정2동
가림중학교,"경기도 광명시 오리로 616(하안동,가림중학교)",37.45764308,126.8796742,하안동,하안3동
광남중학교,"경기도 광명시 광명로 785(광명동,광남중학교)",37.47007475,126.8475588,광명동,광명6동
광명북중학교,"경기도 광명시 시청로 121, 광명북중학교 (철산동)",37.48714374,126.8657712,철산동,철산1동
하안북중학교,"경기도 광명시 가림로 22, 하안북중학교 (하안동)",37.46508438,126.8677256,하안동,하안1동
광명중학교,"경기도 광명시 오리로876번길 27, 광명중학교 (철산동)",37.47842348,126.8675734,철산동,철산3동
소하중학교,"경기도 광명시 소하일로 31(소하동, 소하중학교)",37.44819692,126.8874165,소하동,소하1동
안서중학교,"경기도 광명시 기아로13번안길 9-9(소하동,안서중학교)",37.4383574,126.8821568,소하동,소하2동
철산중학교,"경기도 광명시 철망산로 71, (철산동,철산중학교) (철산동)",37.47030832,126.8753237,철산동,철산3동
하안중학교,"경기도 광명시 안현로 80-1(하안동, 하안중학교)",37.46738575,126.8807721,하안동,하안4동
광주중학교,"경기도 광주시 경안로42번길 11, 광주중학교 (경안동)",37.40965359,127.2543737,경안동,경안동
