시도,시군구,학교명,도로명주소,위도,경도
서울시교육청,노원구,서울공연초등학교,서울 노원구 동일로192가길 16,37.62725929,127.0742451
서울시교육청,노원구,서울노원초등학교,서울 노원구 동일로230나길 32,37.67327778,127.0584262
서울시교육청,노원구,서울노일초등학교,서울 노원구 동일로 1625,37.67358589,127.0547175
서울시교육청,노원구,서울녹천초등학교,서울 노원구 마들로3길 34,37.6287991,127.0633804
서울시교육청,도봉구,서울누원초등학교,서울 도봉구 마들로 859-44,37.68683971,127.049689
서울시교육청,노원구,서울당현초등학교,서울 노원구 동일로213길 52,37.64897287,127.0584933
서울시교육청,노원구,서울덕암초등학교,서울 노원구 덕릉로112길 68,37.6665285,127.0813114
서울시교육청,도봉구,서울도봉초등학교,서울 도봉구 도봉로173길 96,37.6795893,127.0382528
서울시교육청,노원구,서울동일초등학교,서울 노원구 한글비석로 566,37.66531133,127.0546389
서울시교육청,도봉구,서울방학초등학교,서울 도봉구 도당로9길 34,37.66419165,127.0318526
서울시교육청,도봉구,서울백운초등학교,서울 도봉구 삼양로146길 17,37.65339418,127.0138162
서울시교육청,노원구,서울불암초등학교,서울 노원구 중계로 178,37.65113216,127.0805263
서울시교육청,노원구,서울상경초등학교,서울 노원구 수락산로 237,37.67045186,127.0516548
서울시교육청,노원구,서울상계초등학교,서울 노원구 상계로9길 39,37.65939501,127.0661218
서울시교육청,노원구,서울상곡초등학교,서울 노원구 노원로38길 34,37.66273415,127.0626386
서울시교육청,노원구,서울상수초등학교,서울 노원구 동일로216길 66,37.65201847,127.0648642
서울시교육청,노원구,서울상원초등학교,서울 노원구 한글비석로54길 119,37.66742078,127.0596956
서울시교육청,노원구,서울상월초등학교,서울 노원구 동일로221길 27,37.65864111,127.0570842
서울시교육청,노원구,서울상천초등학교,서울 노원구 덕릉로 443,37.64633868,127.0579156
서울시교육청,노원구,서울선곡초등학교,서울 노원구 광운로2길 1,37.61865655,127.0584106
서울시교육청,노원구,서울수락초등학교,서울 노원구 동일로 1745,37.68428958,127.0545939
서울시교육청,노원구,서울수암초등학교,서울 노원구 중계로12길 9,37.64813405,127.0813231
서울시교육청,도봉구,서울숭미초등학교,서울 도봉구 노해로 179,37.65103469,127.0279851
서울시교육청,노원구,서울신계초등학교,서울 노원구 초안산로 29,37.6301847,127.0526239
서울시교육청,도봉구,서울신방학초등학교,서울 도봉구 시루봉로 173,37.66608802,127.0291468
서울시교육청,노원구,서울신상계초등학교,서울 노원구 상계로 267,37.66817913,127.0758455
서울시교육청,도봉구,서울신창초등학교,서울 도봉구 덕릉로60길 93,37.63657158,127.041897
서울시교육청,도봉구,서울신학초등학교,서울 도봉구 방학로 247-21,37.66110466,127.0254049
서울시교육청,도봉구,서울신화초등학교,서울 도봉구 우이천로 120,37.63266166,127.0408933
서울시교육청,도봉구,서울쌍문초등학교,서울 도봉구 우이천로 360,37.64855953,127.0246708
서울시교육청,노원구,서울연지초등학교,서울 노원구 월계로55길 48,37.63378873,127.0599995
서울시교육청,노원구,서울연촌초등학교,서울 노원구 공릉로58길 36,37.63498499,127.0732014
서울시교육청,도봉구,서울오봉초등학교,서울 도봉구 시루봉로 285,37.6717969,127.0404296
서울시교육청,노원구,서울온곡초등학교,서울 노원구 한글비석로52길 59,37.66766967,127.066043
서울시교육청,노원구,서울용동초등학교,서울 노원구 한글비석로1길 81-11,37.64187088,127.0692969
서울시교육청,노원구,서울용원초등학교,서울 노원구 섬밭로 144,37.62961418,127.0687758
서울시교육청,노원구,서울원광초등학교,서울 노원구 덕릉로76길 18,37.65439919,127.0749543
서울시교육청,노원구,서울월계초등학교,서울 노원구 월계로45가길 10,37.62782136,127.0506953
서울시교육청,도봉구,서울월천초등학교,서울 도봉구 노해로70길 96,37.64819371,127.052342
서울시교육청,노원구,서울을지초등학교,서울 노원구 중계로 239,37.65069815,127.0732169
서울시교육청,도봉구,서울자운초등학교,서울 도봉구 마들로13길 166,37.65789339,127.0466098
서울시교육청,노원구,서울중계초등학교,서울 노원구 한글비석로19길 39,37.65770403,127.0734719
서울시교육청,노원구,서울중원초등학교,서울 노원구 섬밭로 316,37.64382875,127.0627904
서울시교육청,노원구,서울중평초등학교,서울 노원구 섬밭로 241,37.63764734,127.0640133
서울시교육청,노원구,서울중현초등학교,서울 노원구 섬밭로 181,37.63246985,127.0664197
서울시교육청,도봉구,서울창경초등학교,서울 도봉구 도봉로129길 54,37.65654327,127.0348593
서울시교육청,도봉구,서울창도초등학교,서울 도봉구 방학로 32-28,37.66402344,127.0493927
서울시교육청,도봉구,서울창동초등학교,서울 도봉구 해등로16길 81,37.65486754,127.0452118
서울시교육청,도봉구,서울창림초등학교,서울 도봉구 덕릉로63길 46,37.64335079,127.0413252
서울시교육청,도봉구,서울창원초등학교,서울 도봉구 해등로 103,37.65252575,127.0406277
서울시교육청,도봉구,서울창일초등학교,서울 도봉구 노해로66길 84,37.64765787,127.0475167
서울시교육청,노원구,서울청계초등학교,서울 노원구 공릉로 431,37.64505948,127.0661148
서울시교육청,도봉구,서울초당초등학교,서울 도봉구 해등로32길 11,37.65847444,127.0221763
서울시교육청,노원구,서울태랑초등학교,서울 노원구 화랑로51나길 31,37.62623317,127.0908374
서울시교육청,노원구,서울태릉초등학교,서울 노원구 노원로1길 36,37.62288596,127.0848434
서울시교육청,노원구,서울한천초등학교,서울 노원구 마들로 45,37.62051056,127.0688512
서울시교육청,도봉구,동북초등학교,서울 도봉구 시루봉로 53,37.65505713,127.0260329
서울시교육청,노원구,상명초등학교,서울 노원구 덕릉로 541,37.64870857,127.0675129
서울시교육청,노원구,청원초등학교,서울 노원구 한글비석로 506,37.66557488,127.061036
서울시교육청,노원구,태강삼육초등학교,서울 노원구 화랑로 815,37.64219966,127.1107305
서울시교육청,도봉구,한신초등학교,서울 도봉구 노해로49길 69,37.65326433,127.0326457
서울시교육청,노원구,화랑초등학교,서울 노원구 화랑로 621,37.6282274,127.0938441
서울시교육청,종로구,서울교동초등학교,서울 종로구 삼일대로 446,37.57500567,126.988151
서울시교육청,용산구,서울금양초등학교,서울 용산구 효창원로 137,37.54081153,126.9611212
서울시교육청,용산구,서울남정초등학교,서울 용산구 원효로64길 17-10,37.53650597,126.9650292
서울시교육청,종로구,서울독립문초등학교,서울 종로구 통일로12길 23,37.57430312,126.9602797
서울시교육청,종로구,서울매동초등학교,서울 종로구 사직로9길 19,37.57753791,126.966844
서울시교육청,종로구,서울명신초등학교,서울 종로구 낙산길 250,37.58166105,127.0142592
서울시교육청,용산구,서울보광초등학교,서울 용산구 우사단로 20,37.53265121,126.996461
서울시교육청,용산구,서울삼광초등학교,서울 용산구 두텁바위로1나길 19,37.54729919,126.9765259
서울시교육청,용산구,서울서빙고초등학교,서울 용산구 서빙고로51길 14,37.52124792,126.9922399
서울시교육청,종로구,서울세검정초등학교,서울 종로구 세검정로9길 1,37.60309553,126.9611704
서울시교육청,용산구,서울신용산초등학교,서울 용산구 이촌로 255,37.52048615,126.9757911
서울시교육청,용산구,서울용산초등학교,서울 용산구 한강대로57길 33,37.53560335,126.9725401
서울시교육청,용산구,서울용암초등학교,서울 용산구 녹사평대로60길 39,37.54531616,126.9895487
서울시교육청,용산구,서울원효초등학교,서울 용산구 효창원로13길 38,37.53608311,126.9514748
서울시교육청,용산구,서울이태원초등학교,서울 용산구 녹사평대로40길 19,37.53599878,126.9880656
서울시교육청,종로구,서울재동초등학교,서울 종로구 북촌로4길 7,37.57993473,126.9855725
서울시교육청,종로구,서울창신초등학교,서울 종로구 지봉로 73,37.57601362,127.0142955
서울시교육청,종로구,서울청운초등학교,서울 종로구 자하문로 105,37.58596467,126.9692994
서울시교육청,용산구,서울청파초등학교,서울 용산구 효창원로 228,37.54798809,126.9642996
서울시교육청,용산구,서울한강초등학교,서울 용산구 한강대로14길 9,37.52521824,126.9650797
서울시교육청,용산구,서울한남초등학교,서울 용산구 한남대로 112,37.53940506,127.0049242
서울시교육청,종로구,서울혜화초등학교,서울 종로구 혜화로 32,37.58912214,126.9999139
서울시교육청,종로구,서울효제초등학교,서울 종로구 대학로 12,37.5731673,127.0030655
서울시교육청,용산구,서울후암초등학교,서울 용산구 두텁바위로 140,37.55128983,126.9823731
서울시교육청,중구,서울흥인초등학교,서울 중구 청구로6길 11,37.56109668,127.014691
서울시교육청,중구,서울봉래초등학교,서울 중구 손기정로 73,37.55656196,126.9642141
서울시교육청,중구,서울광희초등학교,서울 중구 다산로 269,37.56758742,127.0150228
서울시교육청,중구,서울남산초등학교,서울 중구 퇴계로22길 17,37.55979582,126.9867851
서울시교육청,중구,서울청구초등학교,서울 중구 다산로 170,37.55876676,127.0142639
서울시교육청,중구,서울덕수초등학교,서울 중구 덕수궁길 140,37.5686344,126.9745858
서울시교육청,중구,서울장충초등학교,서울 중구 청구로17길 40,37.55992216,127.011309
서울시교육청,중구,서울충무초등학교,서울 중구 퇴계로50길 13,37.56182919,127.0018834
서울시교육청,중구,서울신당초등학교,서울 중구 난계로 141,37.56405586,127.0238597
서울시교육청,종로구,서울대학교사범대학부설초등학교,서울 종로구 대학로 64,37.57780562,127.0028936
서울시교육청,중구,동산초등학교,서울 중구 매봉18길 109,37.5562058,127.0167272
서울시교육청,중구,리라초등학교,서울 중구 소파로2길 7,37.55766959,126.9879173
서울시교육청,종로구,상명대학교사범대학부속초등학교,서울 종로구 홍지문2길 1,37.60078373,126.9564109
서울시교육청,중구,서울숭의초등학교,서울 중구 소파로2길 10,37.55630369,126.9880986
서울시교육청,용산구,신광초등학교,서울 용산구 청파로 263,37.54272438,126.9705618
서울시교육청,종로구,운현초등학교,서울 종로구 삼일대로 460,37.57619771,126.9883263
서울시교육청,송파구,서울가동초등학교,서울 송파구 중대로20길 47,37.49741178,127.1299762
