시도교육청명,행정구역명,학원명,도로명주소,위도,경도
서울특별시교육청,강남구,강성호올림피아드과학교습소,"서울특별시 강남구 선릉로62길 30, 501호 (대치동, 드림빌)",37.49777148,127.0550419
서울특별시교육청,강남구,강안교육학원,"서울특별시 강남구 영동대로85길 20-7, 2층, 3층(대치동)",37.50738232,127.0616237
서울특별시교육청,강남구,강의하는아이들대치학원,"서울특별시 강남구 선릉로 319, 6층,7층일부 (역삼동)",37.49803966,127.0517603
서울특별시교육청,강남구,강의하는아이들압구정학원,서울특별시 강남구 압구정로29길 72-1?3층 2호(압구정동),37.53228798,127.028402
서울특별시교육청,강남구,강재춘영어교실영어교습소,"서울특별시 강남구 삼성로63길 14, 1층 101호 (대치동)",37.49989694,127.0589952
서울특별시교육청,강남구,강한영어교습소,"서울특별시 강남구 도곡로78길 22, 3층 309호(대치동)",37.49663573,127.0588476
서울특별시교육청,강남구,개념과유형보습학원,서울특별시 강남구 광평로 63?4층 401호(일원동),37.48286093,127.0796263
서울특별시교육청,강남구,개념상상에스엠(SM)관학원,"서울특별시 강남구 도곡로 511, 4층 (대치동,대진빌딩)",37.49963263,127.0622381
서울특별시교육청,강남구,개념상상학원,"서울특별시 강남구 도곡로 418, 4층 (대치동)",37.49695694,127.0562485
서울특별시교육청,강남구,개념원리원격학원,"서울특별시 강남구 테헤란로8길 37, 6층 일부 (역삼동, 한동빌딩 사옥)",37.49656763,127.0324521
서울특별시교육청,강남구,개념을잘잡아주는수학교습소,"서울특별시 강남구 삼성로4길 17, 208호 (개포동, 주공아파트)",37.48791441,127.0690348
서울특별시교육청,강남구,개념탄탄수학논술교습소,"서울특별시 강남구 선릉로 225, 2층 221-2호 (도곡동)",37.49536487,127.05272
서울특별시교육청,강남구,개념폴리아삼성청담관학원,"서울특별시 강남구 삼성로119길 14, 4층 (삼성동)",37.51603732,127.0503186
서울특별시교육청,강남구,개념폴리아압구정관학원,"서울특별시 강남구 압구정로30길 17, 501-1호 (신사동, 이소니프라자)",37.52633019,127.0295537
서울특별시교육청,강남구,개념폴리아중등관학원,"서울특별시 강남구 남부순환로 2911-1, 6층 전체 (대치동, 성보2빌딩)",37.49270232,127.0577066
서울특별시교육청,강남구,개념폴리아학원,"서울특별시 강남구 남부순환로 2911-1, 7층전체 (대치동)",37.49270232,127.0577066
서울특별시교육청,강남구,개원영재바둑교습소,"서울특별시 강남구 개포로22길 96, 3층 (개포동)",37.47527123,127.0530895
서울특별시교육청,강남구,개인별맞춤수신수학교습소,서울특별시 강남구 선릉로 3203층 303호(대치동),37.49827761,127.0521932
서울특별시교육청,강남구,개포닥터정이클래스학원,"서울특별시 강남구 개포로 512, 403호 (개포동, 개포종합상가)",37.48930721,127.0688421
서울특별시교육청,강남구,개포라라뮤직아카데미학원,"서울특별시 강남구 선릉로8길 13, 1층 전체(개포동)",37.4832705,127.0617565
서울특별시교육청,강남구,개포바리에미술학원,"서울특별시 강남구 선릉로6길 20, 2층 (개포동, 대영빌딩)",37.48312029,127.0624621
서울특별시교육청,강남구,개포소리숲음악학원,"서울특별시 강남구 선릉로16길 4-10, 3층(개포동)",37.4833278,127.0603744
서울특별시교육청,강남구,개포스마트해법영어교습소,"서울특별시 강남구 선릉로 30, 302-1, 302-2호 (개포동, 개포빌딩)",37.48251342,127.0611747
서울특별시교육청,강남구,개포양전하연과학교습소,"서울특별시 강남구 개포로82길 13-11, 201호 (개포동)",37.48874694,127.0681163
서울특별시교육청,강남구,개포영독학원,"서울특별시 강남구 선릉로6길 19, 2층(개포동)",37.48327055,127.0623592
서울특별시교육청,강남구,개포푸른숲바이올린교습소,"서울특별시 강남구 언주로 110, 2층4호 (개포동, 경남아파트상가)",37.48540594,127.05471
서울특별시교육청,강남구,개포하이탑수학교습소,서울특별시 강남구 개포로109길 5대치종합상가 309호(개포동),37.492322,127.0746012
서울특별시교육청,강남구,개포현바이올린교습소,"서울특별시 강남구 광평로10길 15, 2층 208호(일원동)",37.48289938,127.0834454
서울특별시교육청,강남구,거인의숲수학교습소,"서울특별시 강남구 삼성로 151, 301호 일부 (대치동, 선경상가)",37.49315498,127.063
서울특별시교육청,강남구,거인의어깨교육연구소학원,"서울특별시 강남구 역삼로 546, 7층 (대치동,덕일빌딩)",37.50428689,127.0628727
서울특별시교육청,강남구,건택사단연기학원,"서울특별시 강남구 압구정로54길 22, 3층 (신사동)",37.52649346,127.0391365
서울특별시교육청,강남구,건택카메라연기학원,"서울특별시 강남구 선릉로161길 5, 4층 (신사동)",37.52694626,127.0398026
서울특별시교육청,강남구,게으른수학교습소,"서울특별시 강남구 압구정로4길 27-6, 2층 (신사동)",37.52177713,127.0208008
서울특별시교육청,강남구,게이트대치어학학원,"서울특별시 강남구 도곡로 313, 2층, 4~7층 (역삼동)",37.49566206,127.050154
서울특별시교육청,강남구,게이트압구정어학학원,"서울특별시 강남구 압구정로 206, 4층,5층 (신사동)",37.52736985,127.0295754
서울특별시교육청,강남구,게이트프렙스어학원,"서울특별시 강남구 논현로168길 36, 4층 일부 (신사동)",37.52320929,127.0309934
서울특별시교육청,강남구,게임그래픽학원,"서울특별시 강남구 학동로4길 15, 203,204,206호 (논현동)",37.51051524,127.0235361
서울특별시교육청,강남구,게임캔버스학원,"서울특별시 강남구 강남대로96길 17, 3층 (역삼동)",37.50013558,127.0283897
서울특별시교육청,강남구,결국이루는학원,서울특별시 강남구 논현로71길 212~4층(역삼동),37.4945393,127.0378563
서울특별시교육청,강남구,경매광장아카데미학원,"서울특별시 강남구 봉은사로 129, 1층 1호 (논현동, 거평타운오피스텔)",37.50591645,127.0283134
서울특별시교육청,강남구,고도미술학원,"서울특별시 강남구 남부순환로351길 18, 2층전체 (도곡동)",37.48599896,127.0344816
서울특별시교육청,강남구,고등학원,"서울특별시 강남구 도곡로 501, 301호,302호,303호,304호(SM TOWER) (대치동)",37.49932264,127.0611161
서울특별시교육청,강남구,고래수학학원,서울특별시 강남구 봉은사로71길 313층 (삼성동),37.51424137,127.0491894
서울특별시교육청,강남구,고래의도약학원,"서울특별시 강남구 도곡로 524, 2층 (대치동,남성빌딩)",37.49952308,127.0637368
서울특별시교육청,강남구,고수교육학원,"서울특별시 강남구 도곡로63길 16, 2층(대치동)",37.49801005,127.0542987
서울특별시교육청,강남구,고수사회탐구교습소,"서울특별시 강남구 역삼로 512, 302호(대치동)",37.50323864,127.059781
서울특별시교육청,강남구,고스트모델아카데미학원,"서울특별시 강남구 도산대로 174, 5층 (논현동)",37.51912145,127.0276596
서울특별시교육청,강남구,고스트아카데미학원,"서울특별시 강남구 도산대로 174, 4층 (논현동)",37.51912145,127.0276596
서울특별시교육청,강남구,고앤정학원,"서울특별시 강남구 도곡로 524, 4층 전체 (대치동, 남성빌딩)",37.49952308,127.0637368
서울특별시교육청,강남구,고트미술학원,"서울특별시 강남구 선릉로76길 9, 3층 전체(대치동)",37.50158477,127.0513286
서울특별시교육청,강남구,골든스트리트학원,"서울특별시 강남구 언주로81길 42, 4층 일부 (역삼동)",37.49955337,127.0401254
서울특별시교육청,강남구,골든타임수학학원,서울특별시 강남구 삼성로72길 35층(대치동),37.50266859,127.0593972
서울특별시교육청,강남구,곰수학학원,"서울특별시 강남구 개포로22길 9, 4층 (개포동)",37.47829422,127.0479929
서울특별시교육청,강남구,공간미술교습소,"서울특별시 강남구 학동로 513, 203호 (청담동, 진흥아파트상가)",37.52001983,127.0542167
서울특별시교육청,강남구,공감수학교습소,"서울특별시 강남구 자곡로 120, 1층 103호(자곡동)",37.47214563,127.0965024
서울특별시교육청,강남구,공감입시학원,"서울특별시 강남구 삼성로 311, 5층 (대치동,제동빌딩)",37.49964489,127.0601506
서울특별시교육청,강남구,공부력수학학원,서울특별시 강남구 선릉로 403층(개포동),37.48322939,127.0602384
서울특별시교육청,강남구,공부선배원격학원,"서울특별시 강남구 봉은사로5길 6, 3층 (논현동)",37.50560569,127.0264142
서울특별시교육청,강남구,공부하는날학원,"서울특별시 강남구 자곡로 114, 403호,404호 (자곡동)",37.472057,127.096024
서울특별시교육청,강남구,과학의맥과학교습소,서울특별시 강남구 압구정로 114401호(신사동),37.52328631,127.0213027
서울특별시교육청,강남구,곽샘음악학원,"서울특별시 강남구 압구정로 113-22, 2층2호 (압구정동)",37.52474117,127.019644
서울특별시교육청,강남구,곽쌤수학학원,"서울특별시 강남구 도곡로73길 5, 5층(대치동)",37.49821129,127.0574388
서울특별시교육청,강남구,관우쌤과세상을품은교육(세품교)입시컨설팅원격학원,서울특별시 강남구 영동대로85길 20-7(대치동) 5층 524호,37.50738232,127.0616237
서울특별시교육청,강남구,광림샤이닝키즈학원,"서울특별시 강남구 논현로163길 33, 1층일부 (신사동)",37.52389535,127.0255798
서울특별시교육청,강남구,교사에관하여원격학원,"서울특별시 강남구 강남대로84길 23, 1703-2호 (역삼동, 한라클래식오피스텔)",37.49712987,127.0303844
서울특별시교육청,강남구,구름아이들미술교습소,"서울특별시 강남구 삼성로67길 33, 102호 (대치동)",37.5003692,127.0568923
서울특별시교육청,강남구,국순당우리술교육학원,서울특별시 강남구 봉은사로 641?외1필지 2층(삼성동),37.51539587,127.0654456
서울특별시교육청,강남구,국어샘학원,"서울특별시 강남구 남부순환로 2917, 201-아호, 307-가호, 307-나호(대치동)",37.4931667,127.0591649
서울특별시교육청,강남구,국어의길학원,"서울특별시 강남구 선릉로62길 5, 4층 (대치동)",37.4973827,127.0530618
서울특별시교육청,강남구,국어의시작조미현학원,"서울특별시 강남구 밤고개로 231, 209호 일부 (율현동, 훼미리타운A동)",37.47381092,127.1073167
서울특별시교육청,강남구,국어자신감학원,"서울특별시 강남구 논현로175길 59-6, 2층 (신사동)",37.52394275,127.0242341
서울특별시교육청,강남구,국탑수학교습소,"서울특별시 강남구 논현로8길 50-6, 3층 301(개포동)",37.47437016,127.0530184
서울특별시교육청,강남구,권미나국어학원,"서울특별시 강남구 선릉로64길 15-6, 4층 전체 (대치동)",37.49843125,127.0535533
서울특별시교육청,강남구,권수학교습소,"서울특별시 강남구 선릉로6길 10, 2층 (개포동)",37.48265634,127.0618262
