시군구,행정동,어린이집_가중치,학급당학생수_가중치,가중치_합산
마포구,성산1동,0.003247525,0.035631892,0.038879417
마포구,성산2동,0.00435625,0.033126225,0.037482475
성동구,성수1가1동,0.00212527,0.027862571,0.029987840999999998
성동구,성수1가2동,0.003423459,0.0,0.003423459
성동구,성수2가1동,0.003324324,0.024686319,0.028010643
성동구,성수2가3동,0.005774648,0.020343654,0.026118302
관악구,성현동,0.003247525,0.035871211,0.039118736
강남구,세곡동,0.003452632,0.034733068,0.038185699999999996
중구,소공동,0.019421053,0.026208598,0.045629651
부천시 원미구,소사동,0.022707692,0.046234271,0.068941963
부천시 소사구,소사본1동,0.004976879,0.040988096,0.045964975000000005
부천시 소사구,소사본동,0.00333125,0.037791491,0.041122741000000004
광명시,소하1동,0.0052275,0.045349789,0.050577289000000004
광명시,소하2동,0.005783002,0.040223816,0.046006818000000005
부천시 소사구,송내1동,0.004703633,0.040709868,0.045413501
부천시 소사구,송내2동,0.006610365,0.043982863,0.050593228
연수구,송도1동,0.0075133,0.0526,0.0601133
연수구,송도2동,0.003524355,0.049645675,0.05317003
연수구,송도3동,0.002803676,0.04749911,0.050302785999999995
연수구,송도4동,0.002064516,0.046609964,0.04867448
연수구,송도5동,0.002851114,0.048050802,0.050901916
동구,송림1동,0.00076875,0.036927208,0.037695958
동구,송림2동,0.0492,0.041021047,0.090221047
동구,송림3.5동,0.008386364,0.04289739,0.051283754
동구,송림4동,0.003951807,0.0,0.003951807
동구,송림6동,0.005857143,0.0,0.005857143
성동구,송정동,0.004366864,0.025286248,0.029653112000000002
강북구,송중동,0.005690391,0.032128103,0.037818494
강북구,송천동,0.003484419,0.040666106,0.044150525
송파구,송파1동,0.004265896,0.0312876,0.035553496
송파구,송파2동,0.003215686,0.034692032,0.037907718
고양시 일산서구,송포동,0.003128776,0.040480673,0.043609449
동구,송현1.2동,0.008785714,0.0,0.008785714
동구,송현3동,0.013666667,0.0,0.013666667
구로구,수궁동,0.004315789,0.031576163,0.035891952
성남시 분당구,수내1동,0.002555844,0.048670028,0.051225872
성남시 분당구,수내2동,0.000995951,0.050371021,0.051366972000000004
성남시 분당구,수내3동,0.003153846,0.0526,0.055753846
남양주시,수동면,0.005788235,0.017534775,0.023323009999999998
은평구,수색동,0.002094607,0.033252994,0.035347601
강남구,수서동,0.004513761,0.030180685,0.034694446
강북구,수유1동,0.005037543,0.032715225,0.037752768
강북구,수유2동,0.005892216,0.0,0.005892216
강북구,수유3동,0.003671642,0.036524581,0.040196223
성남시 수정구,수진1동,0.002645161,0.0,0.002645161
성남시 수정구,수진2동,0.003416667,0.038449016,0.041865683
구리시,수택1동,0.003362187,0.034583235,0.037945422
구리시,수택2동,0.004975281,0.0,0.004975281
구리시,수택3동,0.003671642,0.035870089,0.039541731000000004
미추홀구,숭의1.3동,0.001389831,0.0,0.001389831
미추홀구,숭의2동,0.003170103,0.0,0.003170103
미추홀구,숭의4동,0.003194805,0.038628923,0.041823728000000004
종로구,숭인1동,0.005347826,0.0,0.005347826
종로구,숭인2동,0.003464789,0.0,0.003464789
금천구,시흥1동,0.006277512,0.029946851,0.036224363
금천구,시흥2동,0.005154286,0.03535772,0.040512006
금천구,시흥3동,0.003416667,0.035014821,0.038431488
금천구,시흥4동,0.007211726,0.032753021,0.039964747
금천구,시흥5동,0.00579798,0.020052711,0.025850691000000002
성남시 수정구,시흥동,0.021525,0.0,0.021525
고양시 일산동구,식사동,0.002943904,0.04666616,0.049610063999999995
용인시 기흥구,신갈동,0.003831776,0.04420736,0.048039136
영등포구,신길1동,0.004459215,0.033372498,0.037831713
영등포구,신길3동,0.002020534,0.026255992,0.028276526
영등포구,신길4동,0.003534483,0.021270197,0.024804680000000003
영등포구,신길5동,0.002419672,0.036085801,0.038505473
영등포구,신길6동,0.004518367,0.026104333,0.0306227
영등포구,신길7동,0.002597677,0.037208196,0.039805873
중랑구,신내1동,0.005596439,0.030616193,0.036212632
중랑구,신내2동,0.007515275,0.034730963,0.042246238
중구,신당5동,0.003181034,0.02694583,0.030126864
중구,신당동,0.002342857,0.024051317,0.026394174
동작구,신대방1동,0.0041,0.033738239,0.037838239
동작구,신대방2동,0.005035088,0.035146735,0.040181823
구로구,신도림동,0.004038304,0.040298005,0.044336309
관악구,신림동,0.00205,0.0,0.00205
용인시 수지구,신봉동,0.00366643,0.045540757,0.049207187
은평구,신사1동,0.003267552,0.037598833,0.040866385
은평구,신사2동,0.003809735,0.031769434,0.035579169
강남구,신사동,0.001822222,0.031905295,0.033727517
관악구,신사동,0.006648649,0.029285049,0.035933698
동대문구,신설동,0.002821101,0.033554589,0.03637569
마포구,신수동,0.002791489,0.034896417,0.037687906
관악구,신원동,0.00638961,0.02866911,0.03505872
양천구,신월1동,0.005655172,0.0,0.005655172
양천구,신월2동,0.006029412,0.034660437,0.040689849
양천구,신월3동,0.005519231,0.029524614,0.035043845000000004
양천구,신월4동,0.004296943,0.031663589,0.035960531999999996
양천구,신월5동,0.00799278,0.034964357,0.042957137
양천구,신월6동,0.002418539,0.0365022,0.038920738999999996
양천구,신월7동,0.005780679,0.034131928,0.039912607
하남시,신장1동,0.005507463,0.0,0.005507463
하남시,신장2동,0.004467312,0.042746599,0.047213911000000004
양천구,신정1동,0.0035,0.040576179,0.044076179
양천구,신정2동,0.002447761,0.04194289,0.044390650999999996
양천구,신정3동,0.004502196,0.03168288,0.036185076
양천구,신정4동,0.005947253,0.027043136,0.032990388999999995
